本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 13/40 盘：卡罗康式，白方 v4，黑方 material =====
93... material：Rb1+ | 深度 5 | 1.84 秒
94. v4：Ka7 | 深度 5 | 0.55 秒
94... material：Rh1 | 深度 5 | 0.91 秒
95. v4：Nd4 | 深度 5 | 1.91 秒
95... material：Rg1 | 深度 5 | 2.02 秒
96. v4：Ka6 | 深度 5 | 2.23 秒
96... material：Rg5 | 深度 5 | 2.57 秒
97. v4：Ka7 | 深度 5 | 1.60 秒
97... material：Ka3 | 深度 5 | 2.30 秒
98. v4：Ka6 | 深度 5 | 2.23 秒
98... material：Ka4 | 深度 5 | 2.72 秒
99. v4：Ka7 | 深度 5 | 1.78 秒
99... material：Ka3 | 深度 5 | 2.40 秒
100. v4：Kb6 | 深度 5 | 1.94 秒
100... material：Kb4 | 深度 5 | 2.88 秒
101. v4：Nc6+ | 深度 5 | 1.22 秒
101... material：Ka4 | 深度 5 | 1.13 秒
102. v4：Na7 | 深度 5 | 2.17 秒
102... material：Rh5 | 深度 5 | 2.33 秒
103. v4：Nc6 | 深度 5 | 0.70 秒
103... material：Rh1 | 深度 5 | 1.69 秒
104. v4：Ne5 | 深度 5 | 2.24 秒
104... material：Rg1 | 深度 5 | 2.83 秒
105. v4：Ka6 | 深度 5 | 2.69 秒
105... material：Rh1 | 深度 5 | 3.33 秒
106. v4：Kb6 | 深度 5 | 1.95 秒
106... material：Rg1 | 深度 5 | 3.10 秒
107. v4：Ka6 | 深度 5 | 2.85 秒
107... material：Rg5 | 深度 5 | 3.29 秒
108. v4：Nc6 | 深度 5 | 1.50 秒
108... material：Rh5 | 深度 5 | 3.00 秒
109. v4：Kb6 | 深度 5 | 1.00 秒
109... material：Rg5 | 深度 5 | 1.75 秒
110. v4：Na7 | 深度 5 | 2.26 秒
110... material：Rf5 | 深度 5 | 2.85 秒
111. v4：Nc6 | 深度 5 | 0.84 秒
111... material：Rh5 | 深度 5 | 0.88 秒
112. v4：Nd4 | 深度 5 | 0.49 秒
112... material：Rh1 | 深度 5 | 0.20 秒
113. v4：Ne6 | 深度 5 | 0.78 秒
113... material：h5 | 深度 5 | 0.12 秒
114. v4：Ka7 | 深度 5 | 2.32 秒
114... material：h4 | 深度 5 | 1.15 秒
115. v4：Nc5+ | 深度 5 | 2.36 秒
115... material：Ka3 | 深度 5 | 0.36 秒
116. v4：Ne4 | 深度 5 | 3.34 秒
116... material：h3 | 深度 5 | 1.05 秒
117. v4：Ng5 | 深度 5 | 2.39 秒
117... material：h2 | 深度 5 | 1.53 秒
118. v4：Nf3 | 深度 5 | 1.03 秒
118... material：Ka4 | 深度 5 | 1.05 秒
119. v4：Ka6 | 深度 5 | 1.03 秒
119... material：Ka3 | 深度 5 | 0.83 秒
120. v4：Ka5 | 深度 5 | 1.38 秒
120... material：Ka2 | 深度 5 | 0.78 秒
本盘结果：*，原因：move_limit_unfinished

===== 第 14/40 盘：卡罗康式，白方 material，黑方 v4 =====
