本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 3/40 盘：后翼弃兵发展，白方 v4，黑方 material =====
89. v4：Ke8 | 深度 5 | 1.43 秒
89... material：Rf4 | 深度 5 | 3.88 秒
90. v4：Kd7 | 深度 5 | 1.27 秒
90... material：Rg4 | 深度 5 | 3.04 秒
91. v4：Ke7 | 深度 5 | 1.29 秒
91... material：Rf4 | 深度 5 | 1.65 秒
92. v4：Kd6 | 深度 5 | 1.13 秒
92... material：Rg4+ | 深度 5 | 2.85 秒
93. v4：Ke7 | 深度 5 | 1.01 秒
93... material：Rf4 | 深度 5 | 1.73 秒
94. v4：Kd6 | 深度 5 | 1.06 秒
94... material：Bf2 | 深度 5 | 2.82 秒
95. v4：Ke7 | 深度 5 | 1.34 秒
95... material：Bg1 | 深度 5 | 3.74 秒
96. v4：Kd7 | 深度 5 | 0.89 秒
96... material：Rg4 | 深度 5 | 4.75 秒
97. v4：Ke8 | 深度 5 | 1.33 秒
97... material：Rf4 | 深度 5 | 2.02 秒
98. v4：Kd7 | 深度 5 | 0.99 秒
98... material：Rg4 | 深度 5 | 4.90 秒
99. v4：Ke8 | 深度 5 | 1.18 秒
99... material：f6 | 深度 5 | 1.77 秒
100. v4：Ke7 | 深度 5 | 0.71 秒
100... material：Bd4 | 深度 5 | 1.83 秒
101. v4：Kd6 | 深度 5 | 1.45 秒
101... material：Kh3 | 深度 5 | 2.35 秒
102. v4：Kd5 | 深度 5 | 1.23 秒
102... material：Be5 | 深度 5 | 2.04 秒
103. v4：Kc6 | 深度 5 | 1.35 秒
103... material：Rh4 | 深度 5 | 3.36 秒
104. v4：Kd5 | 深度 5 | 1.30 秒
104... material：Kh2 | 深度 5 | 2.43 秒
105. v4：Kc5 | 深度 5 | 0.85 秒
