本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 33/40 盘：卡罗康推进，白方 v4，黑方 material =====
69... v4：b5 | 深度 5 | 2.03 秒
70. material：Rb7 | 深度 5 | 1.38 秒
70... v4：Nxa2 | 深度 5 | 1.90 秒
71. material：Rxb5 | 深度 5 | 1.45 秒
71... v4：c3 | 深度 5 | 1.39 秒
72. material：Rxd5 | 深度 5 | 2.44 秒
72... v4：c2 | 深度 5 | 0.63 秒
73. material：Rc5 | 深度 5 | 1.28 秒
73... v4：c1=Q | 深度 5 | 0.82 秒
74. material：Rxc1 | 深度 5 | 0.62 秒
74... v4：Nxc1 | 深度 5 | 0.59 秒
75. material：d5 | 深度 5 | 0.75 秒
75... v4：a3 | 深度 5 | 0.99 秒
76. material：e6 | 深度 5 | 0.61 秒
76... v4：a2 | 深度 5 | 0.66 秒
77. material：e7 | 深度 5 | 0.64 秒
77... v4：a1=Q | 深度 5 | 1.04 秒
78. material：e8=Q | 深度 5 | 2.33 秒
78... v4：Qc3 | 深度 5 | 2.70 秒
79. material：Qb5 | 深度 4 | 5.00 秒
79... v4：Qh8+ | 深度 5 | 2.88 秒
80. material：Kg3 | 深度 5 | 1.61 秒
80... v4：Qc3+ | 深度 5 | 4.54 秒
81. material：Kf2 | 深度 5 | 1.88 秒
81... v4：Nd3+ | 深度 4 | 5.00 秒
82. material：Kg3 | 深度 5 | 4.76 秒
82... v4：Qe1+ | 深度 4 | 5.00 秒
83. material：Kh2 | 深度 5 | 2.09 秒
83... v4：Qh4+ | 深度 5 | 3.41 秒
84. material：Kg1 | 深度 5 | 1.41 秒
84... v4：Qe1+ | 深度 5 | 3.64 秒
85. material：Kh2 | 深度 5 | 1.26 秒
85... v4：Qh4+ | 深度 5 | 2.64 秒
86. material：Kg1 | 深度 5 | 1.31 秒
86... v4：Qe1+ | 深度 5 | 3.15 秒
material 申请和棋：{'reason': 'threefold_repetition', 'intended_move': 'g1h2'}
本盘结果：1/2-1/2，原因：claimed_threefold_repetition
结果压缩包： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_17.zip

===== 比赛结束 =====
v4获胜： 0
material获胜： 0
和棋： 1
达到步数上限未结束： 1
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_17
