本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 9/40 盘：西西里式，白方 v4，黑方 material =====
5. material：Nb3 | 深度 4 | 5.00 秒
5... v4：Qh4 | 深度 4 | 5.00 秒
6. material：Nc3 | 深度 4 | 5.00 秒
6... v4：Kd8 | 深度 3 | 5.00 秒
7. material：Be3 | 深度 3 | 5.00 秒
7... v4：Be6 | 深度 3 | 5.00 秒
8. material：Be2 | 深度 3 | 5.00 秒
8... v4：h6 | 深度 3 | 5.00 秒
9. material：Qd2 | 深度 3 | 5.00 秒
9... v4：b6 | 深度 3 | 5.00 秒
10. material：O-O-O | 深度 3 | 5.00 秒
10... v4：Nf6 | 深度 3 | 5.00 秒
11. material：f3 | 深度 3 | 5.00 秒
11... v4：Be7 | 深度 3 | 5.00 秒
12. material：Nb5 | 深度 3 | 5.00 秒
12... v4：Kc8 | 深度 3 | 5.00 秒
13. material：Nxd6+ | 深度 3 | 5.00 秒
13... v4：Bxd6 | 深度 4 | 5.00 秒
14. material：Qxd6 | 深度 3 | 5.00 秒
14... v4：Bd7 | 深度 3 | 5.00 秒
15. material：Qxe5 | 深度 3 | 5.00 秒
15... v4：Qh5 | 深度 3 | 5.00 秒
16. material：Qg3 | 深度 3 | 5.00 秒
16... v4：Qg6 | 深度 3 | 5.00 秒
17. material：Kb1 | 深度 3 | 5.00 秒
17... v4：Qxg3 | 深度 4 | 5.00 秒
18. material：hxg3 | 深度 4 | 5.00 秒
18... v4：Nc6 | 深度 3 | 5.00 秒
19. material：c3 | 深度 3 | 5.00 秒
19... v4：Re8 | 深度 4 | 5.00 秒
20. material：Rd2 | 深度 3 | 5.00 秒
20... v4：h5 | 深度 3 | 5.00 秒
21. material：Rhd1 | 深度 3 | 5.00 秒
21... v4：Re5 | 深度 3 | 5.00 秒
22. material：Bf4 | 深度 3 | 5.00 秒
22... v4：Re8 | 深度 4 | 5.00 秒
23. material：Be3 | 深度 3 | 5.00 秒
23... v4：Re5 | 深度 3 | 5.00 秒
24. material：Bf4 | 深度 3 | 5.00 秒
24... v4：Re7 | 深度 4 | 5.00 秒
25. material：Bg5 | 深度 3 | 5.00 秒
25... v4：Be6 | 深度 3 | 5.00 秒
26. material：Ba6+ | 深度 4 | 5.00 秒
26... v4：Rb7 | 深度 4 | 5.00 秒
27. material：Rh1 | 深度 3 | 5.00 秒
27... v4：Ne5 | 深度 4 | 5.00 秒
28. material：Bxb7+ | 深度 4 | 5.00 秒
28... v4：Kxb7 | 深度 4 | 5.00 秒
29. material：Bxf6 | 深度 4 | 5.00 秒
29... v4：gxf6 | 深度 4 | 5.00 秒
30. material：Rxh5 | 深度 4 | 5.00 秒
30... v4：Rg8 | 深度 4 | 5.00 秒
31. material：Rh6 | 深度 4 | 5.00 秒
31... v4：Bxb3 | 深度 4 | 5.00 秒
32. material：axb3 | 深度 5 | 4.31 秒
32... v4：Rxg3 | 深度 4 | 5.00 秒
33. material：Rxf6 | 深度 4 | 5.00 秒
33... v4：Rg6 | 深度 5 | 4.96 秒
34. material：Rfd6 | 深度 5 | 3.86 秒
34... v4：Re6 | 深度 4 | 5.00 秒
35. material：Rxe6 | 深度 5 | 2.29 秒
35... v4：fxe6 | 深度 5 | 1.32 秒
36. material：Rd6 | 深度 5 | 2.02 秒
36... v4：Ng6 | 深度 5 | 2.36 秒
37. material：Rxe6 | 深度 5 | 1.51 秒
37... v4：Nf4 | 深度 5 | 0.57 秒
38. material：Re7+ | 深度 5 | 0.65 秒
38... v4：Ka6 | 深度 5 | 1.17 秒
39. material：g3 | 深度 5 | 1.30 秒
39... v4：Ne2 | 深度 5 | 1.50 秒
40. material：g4 | 深度 5 | 1.74 秒
40... v4：Ng1 | 深度 5 | 0.92 秒
41. material：f4 | 深度 5 | 1.21 秒
41... v4：Nf3 | 深度 5 | 1.11 秒
42. material：g5 | 深度 5 | 2.33 秒
42... v4：Ng1 | 深度 5 | 1.17 秒
43. material：Re5 | 深度 5 | 2.29 秒
43... v4：Nf3 | 深度 5 | 1.04 秒
44. material：Re6 | 深度 5 | 1.02 秒
44... v4：Kb7 | 深度 5 | 1.44 秒
45. material：Re7+ | 深度 5 | 1.97 秒
45... v4：Kb8 | 深度 5 | 1.89 秒
46. material：b4 | 深度 5 | 2.68 秒
46... v4：a5 | 深度 5 | 2.10 秒
47. material：Re6 | 深度 5 | 1.60 秒
47... v4：axb4 | 深度 5 | 3.21 秒
48. material：Rxb6+ | 深度 5 | 1.45 秒
48... v4：Kc8 | 深度 5 | 1.10 秒
49. material：Rxb4 | 深度 5 | 1.76 秒
49... v4：Kc7 | 深度 5 | 1.05 秒
50. material：Rc4+ | 深度 5 | 1.46 秒
50... v4：Kb7 | 深度 5 | 1.46 秒
51. material：Rb4+ | 深度 5 | 1.26 秒
51... v4：Kc6 | 深度 5 | 1.43 秒
52. material：Rc4+ | 深度 5 | 1.57 秒
52... v4：Kb7 | 深度 5 | 1.19 秒
53. material：Rb4+ | 深度 5 | 1.26 秒
53... v4：Kc6 | 深度 5 | 1.18 秒
54. material：Ra4 | 深度 5 | 1.65 秒
54... v4：Kb5 | 深度 5 | 2.87 秒
55. material：b3 | 深度 5 | 1.24 秒
55... v4：Kb6 | 深度 5 | 1.46 秒
56. material：Rb4+ | 深度 5 | 1.95 秒
56... v4：Kc6 | 深度 5 | 1.26 秒
57. material：Rc4+ | 深度 5 | 1.29 秒
57... v4：Kd7 | 深度 5 | 1.12 秒
58. material：Rb4 | 深度 5 | 1.42 秒
58... v4：Kc6 | 深度 5 | 2.57 秒
59. material：Rc4+ | 深度 5 | 1.29 秒
59... v4：Kb7 | 深度 5 | 0.85 秒
60. material：Kc2 | 深度 5 | 0.96 秒
60... v4：Ne1+ | 深度 5 | 0.60 秒
61. material：Kd2 | 深度 5 | 0.40 秒
61... v4：Nf3+ | 深度 5 | 0.45 秒
62. material：Ke3 | 深度 5 | 0.68 秒
62... v4：Ne1 | 深度 5 | 1.43 秒
63. material：Rb4+ | 深度 5 | 1.04 秒
63... v4：Kc8 | 深度 5 | 0.47 秒
64. material：Rc4+ | 深度 5 | 1.17 秒
64... v4：Kd7 | 深度 5 | 1.19 秒
65. material：Rd4+ | 深度 5 | 1.17 秒
65... v4：Kc7 | 深度 5 | 0.99 秒
66. material：Rd2 | 深度 5 | 1.02 秒
66... v4：Kb6 | 深度 5 | 1.03 秒
67. material：Re2 | 深度 5 | 1.23 秒
67... v4：Nf3 | 深度 5 | 0.87 秒
68. material：Kxf3 | 深度 5 | 1.13 秒
68... v4：Kc5 | 深度 5 | 0.96 秒
69. material：g6 | 深度 5 | 1.24 秒
69... v4：Kd6 | 深度 5 | 0.44 秒
70. material：g7 | 深度 5 | 1.09 秒
70... v4：Ke6 | 深度 5 | 0.96 秒
71. material：g8=Q+ | 深度 5 | 1.44 秒
71... v4：Kd6 | 深度 5 | 2.51 秒
72. material：Qh7 | 深度 4 | 5.00 秒
72... v4：Kc6 | 深度 5 | 2.08 秒
73. material：Kg2 | 深度 4 | 5.00 秒
73... v4：Kc5 | 深度 5 | 2.68 秒
74. material：Rf2 | 深度 4 | 5.00 秒
74... v4：Kc6 | 深度 5 | 2.10 秒
75. material：Qh8 | 深度 4 | 5.00 秒
75... v4：Kc7 | 深度 5 | 2.15 秒
76. material：Qg7+ | 深度 4 | 5.00 秒
76... v4：Kc6 | 深度 5 | 1.71 秒
77. material：Kf3 | 深度 4 | 5.00 秒
77... v4：Kd6 | 深度 5 | 2.12 秒
78. material：Qh7 | 深度 4 | 5.00 秒
78... v4：Kc6 | 深度 5 | 1.64 秒
79. material：Qg7 | 深度 4 | 5.00 秒
79... v4：Kd6 | 深度 5 | 1.99 秒
80. material：Qh7 | 深度 4 | 5.00 秒
80... v4：Kc6 | 深度 5 | 1.52 秒
81. material：Qe7 | 深度 4 | 5.00 秒
81... v4：Kb6 | 深度 5 | 1.49 秒
82. material：Ke2 | 深度 4 | 5.00 秒
82... v4：Kc6 | 深度 5 | 1.25 秒
83. material：Rf3 | 深度 4 | 5.00 秒
83... v4：Kb6 | 深度 5 | 1.45 秒
84. material：Qe6+ | 深度 4 | 5.00 秒
84... v4：Kc7 | 深度 5 | 1.57 秒
85. material：f5 | 深度 4 | 5.00 秒
85... v4：Kb7 | 深度 5 | 1.60 秒
86. material：f6 | 深度 4 | 5.00 秒
86... v4：Ka7 | 深度 5 | 1.13 秒
87. material：f7 | 深度 4 | 5.00 秒
87... v4：Kb7 | 深度 5 | 2.75 秒
88. material：f8=Q | 深度 4 | 5.00 秒
88... v4：Kc7 | 深度 5 | 2.32 秒
89. material：Qfc8# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_05.zip

===== 比赛结束 =====
v4获胜： 0
material获胜： 1
和棋： 0
达到步数上限未结束： 1
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_05
