本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 5/40 盘：对称英国式，白方 v4，黑方 material =====
34. material：Kxg3 | 深度 5 | 0.41 秒
34... v4：Rxc6 | 深度 5 | 0.92 秒
35. material：Kf4 | 深度 5 | 1.55 秒
35... v4：Ra6 | 深度 5 | 1.14 秒
36. material：Ke5 | 深度 5 | 0.49 秒
36... v4：Rxa3 | 深度 5 | 1.27 秒
37. material：Kxd4 | 深度 5 | 0.71 秒
37... v4：f6 | 深度 5 | 1.53 秒
38. material：Ne2 | 深度 5 | 0.57 秒
38... v4：Ra5 | 深度 5 | 1.25 秒
39. material：Ng3 | 深度 5 | 0.54 秒
39... v4：a6 | 深度 5 | 1.14 秒
40. material：c5 | 深度 5 | 0.47 秒
40... v4：Ra3 | 深度 5 | 0.70 秒
41. material：Ne4 | 深度 5 | 0.52 秒
41... v4：Kg7 | 深度 5 | 0.96 秒
42. material：c6 | 深度 5 | 0.76 秒
42... v4：Ra4+ | 深度 5 | 1.58 秒
43. material：Kc3 | 深度 5 | 1.25 秒
43... v4：Ra1 | 深度 5 | 1.80 秒
44. material：Kb4 | 深度 5 | 3.13 秒
44... v4：Rc1 | 深度 5 | 1.91 秒
45. material：Nc5 | 深度 5 | 0.51 秒
45... v4：Kg8 | 深度 5 | 2.56 秒
46. material：c7 | 深度 5 | 0.61 秒
46... v4：a5+ | 深度 5 | 0.56 秒
47. material：Kb5 | 深度 5 | 0.52 秒
47... v4：Rb1+ | 深度 5 | 0.50 秒
48. material：Ka6 | 深度 5 | 1.21 秒
48... v4：Rb2 | 深度 5 | 0.75 秒
49. material：c8=Q+ | 深度 5 | 1.01 秒
49... v4：Kf7 | 深度 5 | 1.07 秒
50. material：Ne6 | 深度 5 | 2.99 秒
50... v4：Rb6+ | 深度 5 | 0.45 秒
51. material：Kxb6 | 深度 5 | 0.41 秒
51... v4：Ke7 | 深度 5 | 0.65 秒
52. material：Qf8+ | 深度 4 | 5.00 秒
52... v4：Kd7 | 深度 5 | 0.55 秒
53. material：Nc5# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_03.zip

===== 比赛结束 =====
v4获胜： 1
material获胜： 1
和棋： 0
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_03
