本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 31/40 盘：法兰西推进，白方 v4，黑方 material =====
20. material：Bd2 | 深度 3 | 5.00 秒
20... v4：Qa5 | 深度 3 | 5.00 秒
21. material：Rc1 | 深度 3 | 5.00 秒
21... v4：Qc7 | 深度 4 | 5.00 秒
22. material：Kf2 | 深度 3 | 5.00 秒
22... v4：Rd8 | 深度 4 | 5.00 秒
23. material：Rb1 | 深度 3 | 5.00 秒
23... v4：Nf5 | 深度 4 | 5.00 秒
24. material：g4 | 深度 3 | 5.00 秒
24... v4：Nh6 | 深度 4 | 5.00 秒
25. material：Ng5 | 深度 3 | 5.00 秒
25... v4：f6 | 深度 4 | 5.00 秒
26. material：exf6 | 深度 4 | 5.00 秒
26... v4：gxf6 | 深度 4 | 5.00 秒
27. material：Nxh7 | 深度 4 | 5.00 秒
27... v4：Ng8 | 深度 4 | 5.00 秒
28. material：Be3 | 深度 3 | 5.00 秒
28... v4：Be8 | 深度 3 | 5.00 秒
29. material：Qc2 | 深度 4 | 5.00 秒
29... v4：Bf7 | 深度 3 | 5.00 秒
30. material：Rec1 | 深度 3 | 5.00 秒
30... v4：Nce7 | 深度 3 | 5.00 秒
31. material：Kf3 | 深度 3 | 5.00 秒
31... v4：Qa5 | 深度 3 | 5.00 秒
32. material：g3 | 深度 3 | 5.00 秒
32... v4：Rb6 | 深度 3 | 5.00 秒
33. material：Kf4 | 深度 3 | 5.00 秒
33... v4：Kb8 | 深度 3 | 5.00 秒
34. material：g5 | 深度 3 | 5.00 秒
34... v4：Nf5 | 深度 4 | 5.00 秒
35. material：gxf6 | 深度 3 | 5.00 秒
35... v4：Rxb2 | 深度 3 | 5.00 秒
36. material：Qxf5 | 深度 3 | 5.00 秒
36... v4：exf5 | 深度 4 | 5.00 秒
37. material：Rxb2 | 深度 4 | 5.00 秒
37... v4：Re8 | 深度 4 | 5.00 秒
38. material：Bf2 | 深度 3 | 5.00 秒
38... v4：Nh6 | 深度 4 | 5.00 秒
39. material：Kg5 | 深度 4 | 5.00 秒
39... v4：Ng4 | 深度 4 | 5.00 秒
40. material：Bxg4 | 深度 4 | 5.00 秒
40... v4：fxg4 | 深度 4 | 5.00 秒
41. material：Kxg4 | 深度 4 | 5.00 秒
41... v4：Rh8 | 深度 4 | 5.00 秒
42. material：Ng5 | 深度 5 | 4.23 秒
42... v4：Bxh5+ | 深度 4 | 5.00 秒
43. material：Kf4 | 深度 4 | 5.00 秒
43... v4：Qd8 | 深度 4 | 5.00 秒
44. material：Ke5 | 深度 4 | 5.00 秒
44... v4：Rh6 | 深度 4 | 5.00 秒
45. material：Be3 | 深度 4 | 5.00 秒
45... v4：Rxf6 | 深度 4 | 5.00 秒
46. material：Ne6 | 深度 4 | 5.00 秒
46... v4：Qe7 | 深度 4 | 5.00 秒
47. material：Rb6 | 深度 4 | 5.00 秒
47... v4：Bf7 | 深度 4 | 5.00 秒
48. material：Bg5 | 深度 4 | 5.00 秒
48... v4：Rxe6+ | 深度 5 | 3.54 秒
49. material：Kf5 | 深度 5 | 0.88 秒
49... v4：Qd7 | 深度 5 | 4.69 秒
50. material：Rb4 | 深度 4 | 5.00 秒
50... v4：Re1+ | 深度 4 | 5.00 秒
51. material：Kf6 | 深度 5 | 0.80 秒
51... v4：Qe7+ | 深度 4 | 5.00 秒
52. material：Kg7 | 深度 5 | 1.31 秒
52... v4：Qxg5+ | 深度 5 | 4.35 秒
53. material：Kxf7 | 深度 5 | 1.73 秒
53... v4：Re7+ | 深度 5 | 3.92 秒
54. material：Kf8 | 深度 5 | 0.85 秒
54... v4：Qg7# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_16.zip

===== 比赛结束 =====
v4获胜： 1
material获胜： 0
和棋： 0
达到步数上限未结束： 1
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_16
