本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 15/40 盘：斯拉夫式，白方 v4，黑方 material =====
106... material：Rh1 | 深度 5 | 1.20 秒
107. v4：Ng5+ | 深度 4 | 5.00 秒
107... material：Kd4 | 深度 5 | 0.90 秒
108. v4：e6 | 深度 5 | 3.59 秒
108... material：Rh6 | 深度 5 | 3.51 秒
109. v4：Nf7 | 深度 5 | 2.69 秒
109... material：Rh1 | 深度 5 | 2.93 秒
110. v4：e7 | 深度 5 | 3.03 秒
110... material：Re1 | 深度 5 | 1.53 秒
111. v4：Kd7 | 深度 5 | 2.08 秒
111... material：Re4 | 深度 5 | 0.94 秒
112. v4：Ng5 | 深度 5 | 2.90 秒
112... material：Rxe7+ | 深度 5 | 1.04 秒
113. v4：Bxe7 | 深度 5 | 1.17 秒
113... material：Kc3 | 深度 5 | 0.23 秒
114. v4：Bf6+ | 深度 5 | 2.93 秒
114... material：Kc4 | 深度 5 | 0.36 秒
115. v4：Kc6 | 深度 5 | 3.23 秒
115... material：d4 | 深度 5 | 0.41 秒
116. v4：Ne4 | 深度 5 | 2.53 秒
116... material：d3 | 深度 5 | 0.39 秒
117. v4：Nd6+ | 深度 4 | 5.00 秒
117... material：Kb4 | 深度 5 | 0.41 秒
118. v4：Nb5 | 深度 5 | 4.04 秒
118... material：Kc4 | 深度 5 | 0.41 秒
119. v4：Na3+ | 深度 5 | 4.08 秒
119... material：Kb4 | 深度 5 | 0.92 秒
120. v4：Nb5 | 深度 5 | 2.25 秒
120... material：Kc4 | 深度 5 | 0.42 秒
本盘结果：*，原因：move_limit_unfinished

===== 第 16/40 盘：斯拉夫式，白方 material，黑方 v4 =====
4. material：e3 | 深度 4 | 5.00 秒
4... v4：Be6 | 深度 4 | 5.00 秒
5. material：b3 | 深度 4 | 5.00 秒
5... v4：h5 | 深度 4 | 5.00 秒
6. material：Bb2 | 深度 4 | 5.00 秒
6... v4：h4 | 深度 4 | 5.00 秒
7. material：cxd5 | 深度 4 | 5.00 秒
7... v4：Bxd5 | 深度 4 | 5.00 秒
8. material：Ne5 | 深度 3 | 5.00 秒
8... v4：Nbd7 | 深度 3 | 5.00 秒
9. material：Nxd7 | 深度 4 | 5.00 秒
9... v4：Qxd7 | 深度 4 | 5.00 秒
10. material：Nd2 | 深度 4 | 5.00 秒
10... v4：h3 | 深度 4 | 5.00 秒
11. material：f3 | 深度 4 | 5.00 秒
11... v4：Qe6 | 深度 4 | 5.00 秒
12. material：gxh3 | 深度 4 | 5.00 秒
12... v4：Qxe3+ | 深度 3 | 5.00 秒
13. material：Qe2 | 深度 5 | 3.37 秒
13... v4：Qxe2+ | 深度 4 | 5.00 秒
14. material：Kxe2 | 深度 5 | 4.53 秒
14... v4：e6 | 深度 4 | 5.00 秒
15. material：Bg2 | 深度 4 | 5.00 秒
15... v4：Bb4 | 深度 4 | 5.00 秒
16. material：Rad1 | 深度 4 | 5.00 秒
16... v4：O-O-O | 深度 3 | 5.00 秒
17. material：Bf1 | 深度 3 | 5.00 秒
17... v4：e5 | 深度 3 | 5.00 秒
18. material：dxe5 | 深度 4 | 5.00 秒
18... v4：Nd7 | 深度 3 | 5.00 秒
19. material：Rg1 | 深度 3 | 5.00 秒
19... v4：Rde8 | 深度 3 | 5.00 秒
20. material：f4 | 深度 4 | 5.00 秒
20... v4：g6 | 深度 3 | 5.00 秒
21. material：Nc4 | 深度 3 | 5.00 秒
21... v4：Bxc4+ | 深度 3 | 5.00 秒
22. material：bxc4 | 深度 4 | 5.00 秒
22... v4：Rh4 | 深度 3 | 5.00 秒
23. material：Bc1 | 深度 3 | 5.00 秒
23... v4：Nc5 | 深度 3 | 5.00 秒
24. material：Rh1 | 深度 4 | 5.00 秒
24... v4：Ne6 | 深度 4 | 5.00 秒
25. material：Kf3 | 深度 4 | 5.00 秒
25... v4：Re7 | 深度 4 | 5.00 秒
26. material：Be3 | 深度 4 | 5.00 秒
26... v4：b6 | 深度 4 | 5.00 秒
27. material：Rg1 | 深度 4 | 5.00 秒
27... v4：Bc5 | 深度 4 | 5.00 秒
28. material：Rg4 | 深度 5 | 4.99 秒
28... v4：Rh8 | 深度 4 | 5.00 秒
29. material：Bg2 | 深度 4 | 5.00 秒
29... v4：Bb4 | 深度 4 | 5.00 秒
30. material：Ke4 | 深度 3 | 5.00 秒
30... v4：Nc5+ | 深度 4 | 5.00 秒
31. material：Kf3 | 深度 4 | 5.00 秒
31... v4：Re6 | 深度 3 | 5.00 秒
32. material：Bd4 | 深度 4 | 5.00 秒
32... v4：Rh7 | 深度 3 | 5.00 秒
33. material：Rg1 | 深度 3 | 5.00 秒
33... v4：Ne4 | 深度 4 | 5.00 秒
34. material：a3 | 深度 3 | 5.00 秒
34... v4：Bxa3 | 深度 4 | 5.00 秒
35. material：Rd1 | 深度 3 | 5.00 秒
35... v4：Bb4 | 深度 4 | 5.00 秒
36. material：Bxb6 | 深度 3 | 5.00 秒
36... v4：axb6 | 深度 4 | 5.00 秒
37. material：Rd4 | 深度 3 | 5.00 秒
37... v4：Nc3 | 深度 4 | 5.00 秒
38. material：Rd3 | 深度 4 | 5.00 秒
38... v4：Rh8 | 深度 4 | 5.00 秒
39. material：Rd4 | 深度 4 | 5.00 秒
39... v4：Kc7 | 深度 4 | 5.00 秒
40. material：Rd3 | 深度 4 | 5.00 秒
40... v4：b5 | 深度 4 | 5.00 秒
41. material：cxb5 | 深度 4 | 5.00 秒
41... v4：cxb5 | 深度 4 | 5.00 秒
42. material：f5 | 深度 4 | 5.00 秒
42... v4：Rxe5 | 深度 4 | 5.00 秒
43. material：Rxb4 | 深度 4 | 5.00 秒
43... v4：Rxf5+ | 深度 4 | 5.00 秒
44. material：Kg4 | 深度 5 | 2.49 秒
44... v4：Rc5 | 深度 4 | 5.00 秒
45. material：Rg3 | 深度 4 | 5.00 秒
45... v4：g5 | 深度 4 | 5.00 秒
46. material：Rb3 | 深度 4 | 5.00 秒
46... v4：Rh4+ | 深度 5 | 4.91 秒
47. material：Kf3 | 深度 5 | 3.11 秒
47... v4：Ne4 | 深度 4 | 5.00 秒
48. material：Re3 | 深度 5 | 2.99 秒
48... v4：Rf4+ | 深度 4 | 5.00 秒
