本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 13/20 盘：卡罗康式，白方 candidate，黑方 material =====
26... candidate：Rc7 | 深度 3 | 5.00 秒
27. material：Rh2 | 深度 4 | 5.00 秒
27... candidate：Rd7 | 深度 3 | 5.00 秒
28. material：Rhh1 | 深度 4 | 5.00 秒
28... candidate：Rd8 | 深度 3 | 5.00 秒
29. material：c3 | 深度 4 | 5.00 秒
29... candidate：Rd6 | 深度 3 | 5.00 秒
30. material：Rh2 | 深度 4 | 5.00 秒
30... candidate：Re6+ | 深度 3 | 5.00 秒
31. material：Kf2 | 深度 5 | 3.19 秒
31... candidate：Rd6 | 深度 3 | 5.00 秒
32. material：Ke3 | 深度 4 | 5.00 秒
32... candidate：Re6+ | 深度 3 | 5.00 秒
33. material：Kf2 | 深度 5 | 3.16 秒
33... candidate：Rf4 | 深度 3 | 5.00 秒
34. material：c4 | 深度 4 | 5.00 秒
34... candidate：Nd7 | 深度 3 | 5.00 秒
35. material：d5 | 深度 4 | 5.00 秒
35... candidate：Rd6 | 深度 4 | 5.00 秒
36. material：Bxc6 | 深度 4 | 5.00 秒
36... candidate：Ne5 | 深度 4 | 5.00 秒
37. material：Ba4 | 深度 4 | 5.00 秒
37... candidate：Nxf3 | 深度 3 | 5.00 秒
38. material：Rhh1 | 深度 5 | 3.64 秒
38... candidate：Nh4+ | 深度 3 | 5.00 秒
39. material：Ke3 | 深度 5 | 2.93 秒
39... candidate：Nf5+ | 深度 3 | 5.00 秒
40. material：Kd3 | 深度 5 | 2.68 秒
40... candidate：Rf3+ | 深度 3 | 5.00 秒
41. material：Ke4 | 深度 5 | 3.08 秒
41... candidate：Rf4+ | 深度 4 | 5.00 秒
42. material：Kd3 | 深度 5 | 2.03 秒
42... candidate：Ra6 | 深度 3 | 5.00 秒
43. material：Kc3 | 深度 4 | 5.00 秒
43... candidate：Rf3+ | 深度 3 | 5.00 秒
44. material：Rd3 | 深度 5 | 1.52 秒
44... candidate：Rf2 | 深度 4 | 5.00 秒
45. material：Rg1 | 深度 5 | 4.21 秒
45... candidate：Kd6 | 深度 3 | 5.00 秒
46. material：Rh1 | 深度 5 | 3.42 秒
46... candidate：Rf4 | 深度 3 | 5.00 秒
47. material：Rh2 | 深度 4 | 5.00 秒
47... candidate：Rf1 | 深度 3 | 5.00 秒
48. material：Kc2 | 深度 5 | 4.46 秒
48... candidate：Ra1 | 深度 3 | 5.00 秒
49. material：Rdd2 | 深度 4 | 5.00 秒
49... candidate：Rb6 | 深度 3 | 5.00 秒
50. material：Rdf2 | 深度 4 | 5.00 秒
50... candidate：Kc5 | 深度 3 | 5.00 秒
51. material：Kd3 | 深度 4 | 5.00 秒
51... candidate：Nd4 | 深度 3 | 5.00 秒
52. material：Rb2 | 深度 4 | 5.00 秒
52... candidate：Nf3 | 深度 3 | 5.00 秒
53. material：Ra2 | 深度 4 | 5.00 秒
53... candidate：Rc1 | 深度 3 | 5.00 秒
54. material：Rhb2 | 深度 4 | 5.00 秒
54... candidate：Rh1 | 深度 3 | 5.00 秒
55. material：Be8 | 深度 4 | 5.00 秒
55... candidate：Ne5+ | 深度 3 | 5.00 秒
56. material：Kc2 | 深度 5 | 3.97 秒
56... candidate：Kd4 | 深度 3 | 5.00 秒
57. material：Kd2 | 深度 4 | 5.00 秒
57... candidate：Nd3 | 深度 3 | 5.00 秒
58. material：Rc2 | 深度 5 | 2.97 秒
58... candidate：Rxb3 | 深度 4 | 5.00 秒
59. material：Ra1 | 深度 4 | 5.00 秒
59... candidate：Rxa1 | 深度 4 | 5.00 秒
60. material：d6 | 深度 5 | 3.57 秒
60... candidate：Rg1 | 深度 4 | 5.00 秒
61. material：Bc6 | 深度 4 | 5.00 秒
61... candidate：Rf1 | 深度 3 | 5.00 秒
62. material：Bb5 | 深度 3 | 5.00 秒
62... candidate：Rf2+ | 深度 4 | 5.00 秒
63. material：Kd1 | 深度 5 | 1.00 秒
63... candidate：Rb1+ | 深度 4 | 5.00 秒
64. material：Rc1 | 深度 5 | 0.72 秒
64... candidate：Rxc1# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_07.zip

===== 比赛结束 =====
价值版获胜： 1
子力版获胜： 1
和棋： 0
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_07
