本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 3/20 盘：后翼弃兵发展，白方 candidate，黑方 material =====
23. material：Rxb4 | 深度 3 | 5.00 秒
23... candidate：Qe4 | 深度 3 | 5.00 秒
24. material：Qxg5 | 深度 3 | 5.00 秒
24... candidate：Rd5 | 深度 3 | 5.00 秒
25. material：Bxc7+ | 深度 4 | 5.00 秒
25... candidate：Kc8 | 深度 4 | 5.00 秒
26. material：Qf4 | 深度 4 | 5.00 秒
26... candidate：Qxf4 | 深度 3 | 5.00 秒
27. material：Bxf4 | 深度 4 | 5.00 秒
27... candidate：Rh7 | 深度 3 | 5.00 秒
28. material：Rb6 | 深度 4 | 5.00 秒
28... candidate：Re7 | 深度 3 | 5.00 秒
29. material：Rab1 | 深度 4 | 5.00 秒
29... candidate：h4 | 深度 3 | 5.00 秒
30. material：Rh6 | 深度 4 | 5.00 秒
30... candidate：Re4 | 深度 3 | 5.00 秒
31. material：Rc1+ | 深度 4 | 5.00 秒
31... candidate：Kd7 | 深度 4 | 5.00 秒
32. material：Rc7+ | 深度 4 | 5.00 秒
32... candidate：Kd8 | 深度 4 | 5.00 秒
33. material：Rxb7 | 深度 4 | 5.00 秒
33... candidate：Kc8 | 深度 4 | 5.00 秒
34. material：Rb8+ | 深度 4 | 5.00 秒
34... candidate：Kd7 | 深度 4 | 5.00 秒
35. material：Rh7+ | 深度 4 | 5.00 秒
35... candidate：Re7 | 深度 4 | 5.00 秒
36. material：Rb7+ | 深度 4 | 5.00 秒
36... candidate：Kd8 | 深度 5 | 4.42 秒
37. material：Rbxe7 | 深度 4 | 5.00 秒
37... candidate：Rb5 | 深度 4 | 5.00 秒
38. material：Bc7+ | 深度 4 | 5.00 秒
38... candidate：Kc8 | 深度 4 | 5.00 秒
39. material：Rh8+ | 深度 4 | 5.00 秒
39... candidate：Kb7 | 深度 4 | 5.00 秒
40. material：Rxh4 | 深度 4 | 5.00 秒
40... candidate：Rb1+ | 深度 3 | 5.00 秒
41. material：Kh2 | 深度 5 | 1.33 秒
41... candidate：Rb2 | 深度 3 | 5.00 秒
42. material：Be5+ | 深度 4 | 5.00 秒
42... candidate：Ka6 | 深度 4 | 5.00 秒
43. material：Rh6+ | 深度 4 | 5.00 秒
43... candidate：Rb6 | 深度 4 | 5.00 秒
44. material：Rh8 | 深度 4 | 5.00 秒
44... candidate：Rb2 | 深度 3 | 5.00 秒
45. material：Ra8+ | 深度 5 | 4.59 秒
45... candidate：Kb5 | 深度 5 | 3.98 秒
46. material：Rb8+ | 深度 5 | 4.73 秒
46... candidate：Kc4 | 深度 5 | 2.65 秒
47. material：Rc7+ | 深度 4 | 5.00 秒
47... candidate：Kd5 | 深度 5 | 2.37 秒
48. material：Rxb2 | 深度 4 | 5.00 秒
48... candidate：Ke4 | 深度 5 | 3.76 秒
49. material：Rc8 | 深度 4 | 5.00 秒
49... candidate：Kf5 | 深度 4 | 5.00 秒
50. material：Rh8 | 深度 4 | 5.00 秒
50... candidate：Ke4 | 深度 4 | 5.00 秒
51. material：a3 | 深度 4 | 5.00 秒
51... candidate：Kd3 | 深度 4 | 5.00 秒
52. material：Rbb8 | 深度 4 | 5.00 秒
52... candidate：Ke2 | 深度 5 | 4.86 秒
53. material：Rbf8 | 深度 4 | 5.00 秒
53... candidate：Kd2 | 深度 4 | 5.00 秒
54. material：Rfg8 | 深度 4 | 5.00 秒
54... candidate：Ke2 | 深度 5 | 4.93 秒
55. material：Rf8 | 深度 5 | 4.68 秒
55... candidate：Kd2 | 深度 4 | 5.00 秒
56. material：Rfg8 | 深度 4 | 5.00 秒
56... candidate：Ke2 | 深度 5 | 4.69 秒
57. material：Bg3 | 深度 5 | 4.83 秒
57... candidate：Kd2 | 深度 4 | 5.00 秒
58. material：Rd8 | 深度 5 | 4.66 秒
58... candidate：Kc2 | 深度 4 | 5.00 秒
59. material：Rdg8 | 深度 4 | 5.00 秒
59... candidate：Kc3 | 深度 4 | 5.00 秒
60. material：Rd8 | 深度 4 | 5.00 秒
60... candidate：Kc4 | 深度 4 | 5.00 秒
61. material：Rdg8 | 深度 4 | 5.00 秒
61... candidate：Kc3 | 深度 4 | 5.00 秒
62. material：Rd8 | 深度 4 | 5.00 秒
62... candidate：Kc4 | 深度 4 | 5.00 秒
63. material：Rdf8 | 深度 4 | 5.00 秒
63... candidate：Kc3 | 深度 4 | 5.00 秒
64. material：Rfg8 | 深度 4 | 5.00 秒
64... candidate：Kc4 | 深度 4 | 5.00 秒
65. material：Rd8 | 深度 4 | 5.00 秒
65... candidate：Kc3 | 深度 4 | 5.00 秒
66. material：Rdg8 | 深度 4 | 5.00 秒
66... candidate：Kc4 | 深度 4 | 5.00 秒
67. material：Rd8 | 深度 4 | 5.00 秒
67... candidate：Kc3 | 深度 4 | 5.00 秒
68. material：Rdf8 | 深度 4 | 5.00 秒
68... candidate：Kc4 | 深度 4 | 5.00 秒
69. material：Rf4 | 深度 4 | 5.00 秒
69... candidate：Kb3 | 深度 4 | 5.00 秒
70. material：Ra8 | 深度 5 | 4.99 秒
70... candidate：Kc4 | 深度 4 | 5.00 秒
71. material：Ra7 | 深度 4 | 5.00 秒
71... candidate：Kb3 | 深度 4 | 5.00 秒
72. material：h4 | 深度 4 | 5.00 秒
72... candidate：Kb2 | 深度 4 | 5.00 秒
73. material：Rf5 | 深度 5 | 3.73 秒
73... candidate：Kb3 | 深度 3 | 5.00 秒
74. material：h5 | 深度 4 | 5.00 秒
74... candidate：Kc2 | 深度 4 | 5.00 秒
75. material：h6 | 深度 4 | 5.00 秒
75... candidate：Kd3 | 深度 3 | 5.00 秒
76. material：h7 | 深度 4 | 5.00 秒
76... candidate：Ke4 | 深度 5 | 3.96 秒
77. material：Rf4+ | 深度 4 | 5.00 秒
77... candidate：Kd3 | 深度 5 | 2.99 秒
78. material：h8=Q | 深度 4 | 5.00 秒
78... candidate：Kc2 | 深度 5 | 2.14 秒
79. material：Rg7 | 深度 4 | 5.00 秒
79... candidate：Kb3 | 深度 5 | 2.23 秒
80. material：Qf8 | 深度 4 | 5.00 秒
80... candidate：Kc3 | 深度 5 | 2.35 秒
81. material：Rf5 | 深度 4 | 5.00 秒
81... candidate：Kd2 | 深度 5 | 3.25 秒
82. material：Qh8 | 深度 4 | 5.00 秒
82... candidate：Kd3 | 深度 5 | 3.74 秒
83. material：Rh5 | 深度 4 | 5.00 秒
83... candidate：Kc2 | 深度 5 | 2.77 秒
84. material：Qh7+ | 深度 4 | 5.00 秒
84... candidate：Kb3 | 深度 5 | 3.26 秒
85. material：Qd3+ | 深度 4 | 5.00 秒
85... candidate：Kb2 | 深度 5 | 3.87 秒
86. material：Be5 | 深度 4 | 5.00 秒
86... candidate：Kc1 | 深度 5 | 4.31 秒
87. material：Qg6 | 深度 4 | 5.00 秒
87... candidate：Kb2 | 深度 5 | 3.48 秒
88. material：Bd6 | 深度 4 | 5.00 秒
88... candidate：Kb3 | 深度 4 | 5.00 秒
89. material：Rh8 | 深度 4 | 5.00 秒
89... candidate：Kc4 | 深度 4 | 5.00 秒
90. material：Be5 | 深度 4 | 5.00 秒
90... candidate：Kb3 | 深度 5 | 4.38 秒
91. material：Qd6 | 深度 4 | 5.00 秒
91... candidate：Kc2 | 深度 5 | 4.18 秒
92. material：Qf8 | 深度 4 | 5.00 秒
92... candidate：Kb3 | 深度 5 | 4.35 秒
93. material：g4 | 深度 4 | 5.00 秒
93... candidate：Kc2 | 深度 5 | 3.12 秒
94. material：f4 | 深度 4 | 5.00 秒
94... candidate：Kd3 | 深度 5 | 2.63 秒
95. material：Rh3 | 深度 4 | 5.00 秒
95... candidate：Kc2 | 深度 5 | 2.57 秒
96. material：Rh5 | 深度 4 | 5.00 秒
96... candidate：Kb3 | 深度 5 | 3.21 秒
97. material：g5 | 深度 4 | 5.00 秒
97... candidate：Kc2 | 深度 5 | 2.10 秒
98. material：Rh8 | 深度 4 | 5.00 秒
98... candidate：Kb3 | 深度 5 | 2.74 秒
99. material：g6 | 深度 4 | 5.00 秒
99... candidate：Kc2 | 深度 5 | 2.25 秒
100. material：Ra7 | 深度 4 | 5.00 秒
100... candidate：Kb3 | 深度 5 | 3.27 秒
101. material：g7 | 深度 4 | 5.00 秒
101... candidate：Kc2 | 深度 4 | 5.00 秒
102. material：g8=Q | 深度 4 | 5.00 秒
102... candidate：Kc3 | 深度 5 | 4.46 秒
103. material：Qg5 | 深度 4 | 5.00 秒
103... candidate：Kc4 | 深度 4 | 5.00 秒
104. material：Qh5 | 深度 4 | 5.00 秒
104... candidate：Kd3 | 深度 4 | 5.00 秒
105. material：Qh3 | 深度 4 | 5.00 秒
105... candidate：Kc2 | 深度 5 | 4.69 秒
106. material：Qd7 | 深度 4 | 5.00 秒
106... candidate：Kb3 | 深度 4 | 5.00 秒
107. material：Qdg7 | 深度 4 | 5.00 秒
107... candidate：Kc2 | 深度 5 | 4.64 秒
108. material：Rf7 | 深度 4 | 5.00 秒
