本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

106. material：Kh7 | 深度 4 | 5.00 秒
106... candidate：Ke2 | 深度 5 | 4.81 秒
107. material：Qg8 | 深度 4 | 5.00 秒
107... candidate：Kd2 | 深度 3 | 5.00 秒
108. material：h6 | 深度 4 | 5.00 秒
108... candidate：Kc3 | 深度 4 | 5.00 秒
109. material：Kg7 | 深度 4 | 5.00 秒
109... candidate：Kd2 | 深度 3 | 5.00 秒
110. material：h7 | 深度 4 | 5.00 秒
110... candidate：Kc3 | 深度 5 | 3.72 秒
111. material：h8=Q | 深度 4 | 5.00 秒
111... candidate：Kd3 | 深度 5 | 3.73 秒
112. material：Qd8+ | 深度 4 | 5.00 秒
112... candidate：Kc2 | 深度 3 | 5.00 秒
113. material：Qh3 | 深度 4 | 5.00 秒
113... candidate：Kb2 | 深度 5 | 3.79 秒
114. material：Qd2# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_10.zip

===== 比赛结束 =====
价值版获胜： 1
子力版获胜： 1
和棋： 0
达到步数上限未结束： 0
棋谱与搜索记录： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_10
