本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 17/20 盘：王印式，白方 v4，黑方 v3 =====
24. v3：Qc3 | 深度 3 | 5.00 秒
24... v4：Qxb2+ | 深度 4 | 5.00 秒
25. v3：Qxb2 | 深度 5 | 1.44 秒
25... v4：Rxb2 | 深度 5 | 3.87 秒
26. v3：Rc1 | 深度 3 | 5.00 秒
26... v4：Rxe2 | 深度 5 | 4.50 秒
27. v3：a4 | 深度 3 | 5.00 秒
27... v4：Rbb2 | 深度 4 | 5.00 秒
28. v3：Rc8+ | 深度 4 | 5.00 秒
28... v4：Kh7 | 深度 5 | 1.41 秒
29. v3：Rc7 | 深度 3 | 5.00 秒
29... v4：Ra2+ | 深度 5 | 2.53 秒
30. v3：Kb1 | 深度 5 | 2.09 秒
30... v4：Rxa4 | 深度 5 | 3.56 秒
31. v3：Rxf7 | 深度 3 | 5.00 秒
31... v4：Rb4+ | 深度 4 | 5.00 秒
32. v3：Kc1 | 深度 4 | 5.00 秒
32... v4：Rb3 | 深度 4 | 5.00 秒
33. v3：Bb7 | 深度 4 | 5.00 秒
33... v4：Rb6 | 深度 4 | 5.00 秒
34. v3：Be4 | 深度 3 | 5.00 秒
34... v4：Rb3 | 深度 4 | 5.00 秒
35. v3：Rb7 | 深度 3 | 5.00 秒
35... v4：Rxb7 | 深度 5 | 3.73 秒
36. v3：Bxb7 | 深度 5 | 2.55 秒
36... v4：Bf8 | 深度 5 | 1.87 秒
37. v3：Bf3 | 深度 4 | 5.00 秒
37... v4：Re1+ | 深度 5 | 1.34 秒
38. v3：Kd2 | 深度 5 | 3.39 秒
38... v4：Ra1 | 深度 5 | 3.26 秒
39. v3：Kc2 | 深度 4 | 5.00 秒
39... v4：Bd6 | 深度 5 | 4.96 秒
40. v3：Bd5 | 深度 4 | 5.00 秒
40... v4：Bxh2 | 深度 4 | 5.00 秒
41. v3：Bf7 | 深度 4 | 5.00 秒
41... v4：Bd6 | 深度 4 | 5.00 秒
42. v3：Bd5 | 深度 3 | 5.00 秒
42... v4：h5 | 深度 4 | 5.00 秒
43. v3：Be6 | 深度 4 | 5.00 秒
43... v4：Be7 | 深度 4 | 5.00 秒
44. v3：Kb3 | 深度 3 | 5.00 秒
44... v4：Kh8 | 深度 4 | 5.00 秒
45. v3：d5 | 深度 3 | 5.00 秒
45... v4：Ra3+ | 深度 5 | 4.56 秒
46. v3：Kc2 | 深度 4 | 5.00 秒
46... v4：Bb4 | 深度 4 | 5.00 秒
47. v3：Bd4 | 深度 4 | 5.00 秒
47... v4：Rf3 | 深度 5 | 3.78 秒
48. v3：Bf7 | 深度 4 | 5.00 秒
48... v4：Kg7 | 深度 5 | 3.30 秒
49. v3：Be6 | 深度 5 | 4.21 秒
49... v4：Be1 | 深度 4 | 5.00 秒
50. v3：d6 | 深度 4 | 5.00 秒
50... v4：Rf4 | 深度 5 | 3.00 秒
51. v3：Be3 | 深度 4 | 5.00 秒
51... v4：Re4 | 深度 5 | 3.73 秒
52. v3：d7 | 深度 4 | 5.00 秒
52... v4：Ba5 | 深度 5 | 2.05 秒
53. v3：Bd5 | 深度 4 | 5.00 秒
53... v4：Re7 | 深度 5 | 3.30 秒
54. v3：Bc6 | 深度 4 | 5.00 秒
54... v4：Re6 | 深度 5 | 4.19 秒
55. v3：Bb5 | 深度 4 | 5.00 秒
55... v4：Re5 | 深度 4 | 5.00 秒
56. v3：Bc4 | 深度 4 | 5.00 秒
56... v4：Bc7 | 深度 4 | 5.00 秒
57. v3：Bf4 | 深度 3 | 5.00 秒
57... v4：h4 | 深度 5 | 4.76 秒
58. v3：Bxe5 | 深度 5 | 3.95 秒
58... v4：fxe5 | 深度 5 | 1.13 秒
59. v3：Kb3 | 深度 4 | 5.00 秒
59... v4：Kf6 | 深度 5 | 2.06 秒
60. v3：Bd3 | 深度 4 | 5.00 秒
60... v4：g5 | 深度 5 | 1.56 秒
61. v3：Be4 | 深度 4 | 5.00 秒
61... v4：Ke7 | 深度 5 | 1.55 秒
62. v3：Bc6 | 深度 5 | 3.95 秒
62... v4：Bb6 | 深度 5 | 1.23 秒
63. v3：f3 | 深度 5 | 2.39 秒
63... v4：Bf2 | 深度 5 | 1.82 秒
64. v3：Kc3 | 深度 5 | 4.73 秒
64... v4：Kd8 | 深度 5 | 1.72 秒
65. v3：Kd3 | 深度 5 | 3.16 秒
65... v4：Bd4 | 深度 5 | 0.99 秒
66. v3：Ke4 | 深度 5 | 1.96 秒
66... v4：Kc7 | 深度 5 | 0.81 秒
67. v3：Kf5 | 深度 5 | 1.54 秒
67... v4：Bb6 | 深度 5 | 1.46 秒
68. v3：Bb5 | 深度 5 | 1.35 秒
68... v4：Be3 | 深度 5 | 1.16 秒
69. v3：Kxe5 | 深度 5 | 1.66 秒
69... v4：Bc5 | 深度 5 | 1.28 秒
70. v3：Kf6 | 深度 5 | 2.90 秒
70... v4：Bd6 | 深度 5 | 1.16 秒
71. v3：Kxg5 | 深度 5 | 1.90 秒
71... v4：Be7+ | 深度 5 | 0.90 秒
72. v3：Kg4 | 深度 5 | 2.91 秒
72... v4：Bd8 | 深度 5 | 1.12 秒
73. v3：f4 | 深度 5 | 1.09 秒
73... v4：Be7 | 深度 5 | 0.76 秒
74. v3：Kh5 | 深度 5 | 1.94 秒
74... v4：Bd6 | 深度 5 | 1.35 秒
75. v3：Kg5 | 深度 5 | 1.78 秒
75... v4：Kd8 | 深度 5 | 0.83 秒
76. v3：Kg4 | 深度 5 | 1.96 秒
76... v4：Kc7 | 深度 5 | 0.75 秒
77. v3：Kg5 | 深度 5 | 2.70 秒
77... v4：Be7+ | 深度 5 | 1.20 秒
78. v3：Kh5 | 深度 5 | 3.79 秒
