本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 19/20 盘：苏格兰式，白方 v4，黑方 v3 =====
91... v3：Kh2 | 深度 5 | 0.19 秒
92. v4：Kf7 | 深度 5 | 0.84 秒
92... v3：Kh3 | 深度 5 | 0.17 秒
93. v4：Rg6 | 深度 5 | 0.79 秒
93... v3：Kh4 | 深度 5 | 0.38 秒
94. v4：Rg1 | 深度 5 | 1.23 秒
94... v3：Kh3 | 深度 5 | 0.36 秒
95. v4：Rg6 | 深度 5 | 1.23 秒
95... v3：Kh4 | 深度 5 | 0.36 秒
96. v4：Rg1 | 深度 5 | 1.20 秒
96... v3：Kh3 | 深度 5 | 0.34 秒
97. v4：Rg5 | 深度 5 | 1.25 秒
97... v3：Kh2 | 深度 5 | 0.24 秒
98. v4：Rg6 | 深度 5 | 1.26 秒
98... v3：Kh3 | 深度 5 | 0.36 秒
99. v4：Rg7 | 深度 5 | 1.65 秒
99... v3：Kh2 | 深度 5 | 0.14 秒
100. v4：Rg6 | 深度 5 | 0.86 秒
100... v3：Kh3 | 深度 5 | 0.31 秒
101. v4：Rg7 | 深度 5 | 1.18 秒
101... v3：Kh2 | 深度 5 | 0.13 秒
102. v4：Rg4 | 深度 5 | 0.78 秒
102... v3：Kh3 | 深度 5 | 0.23 秒
103. v4：Rg5 | 深度 5 | 0.74 秒
103... v3：Kh2 | 深度 5 | 0.24 秒
104. v4：Rg4 | 深度 5 | 1.19 秒
104... v3：Kh3 | 深度 5 | 0.22 秒
105. v4：Rg1 | 深度 5 | 0.70 秒
105... v3：Kh2 | 深度 5 | 0.29 秒
106. v4：Rg5 | 深度 5 | 0.82 秒
106... v3：Kh3 | 深度 5 | 0.31 秒
107. v4：Rg1 | 深度 5 | 1.12 秒
107... v3：Kh2 | 深度 5 | 0.30 秒
108. v4：Rg5 | 深度 5 | 0.80 秒
108... v3：Kh3 | 深度 5 | 0.30 秒
109. v4：Ke6 | 深度 5 | 1.06 秒
109... v3：Kh2 | 深度 5 | 0.31 秒
110. v4：Rg8 | 深度 5 | 1.36 秒
110... v3：Kh1 | 深度 5 | 0.38 秒
111. v4：Kf6 | 深度 5 | 1.40 秒
111... v3：Kh2 | 深度 5 | 0.33 秒
112. v4：Ke6 | 深度 5 | 1.40 秒
112... v3：Kh1 | 深度 5 | 0.38 秒
113. v4：Kf6 | 深度 5 | 1.37 秒
113... v3：Kh2 | 深度 5 | 0.29 秒
114. v4：Ke7 | 深度 5 | 1.68 秒
114... v3：Kh1 | 深度 5 | 0.47 秒
115. v4：Kf8 | 深度 5 | 1.37 秒
115... v3：Kh2 | 深度 5 | 0.12 秒
116. v4：Ke7 | 深度 5 | 0.66 秒
116... v3：Kh1 | 深度 5 | 0.46 秒
117. v4：Kf8 | 深度 5 | 1.33 秒
117... v3：Kh2 | 深度 5 | 0.11 秒
118. v4：Ke8 | 深度 5 | 0.60 秒
118... v3：Kh3 | 深度 5 | 0.18 秒
119. v4：Ke7 | 深度 5 | 0.78 秒
119... v3：Kh2 | 深度 5 | 0.62 秒
120. v4：Kf8 | 深度 5 | 1.43 秒
120... v3：Kh3 | 深度 5 | 0.16 秒
本盘结果：*，原因：move_limit_unfinished

===== 第 20/20 盘：苏格兰式，白方 v3，黑方 v4 =====
4. v3：Nxd4 | 深度 4 | 5.00 秒
4... v4：Qh4 | 深度 4 | 5.00 秒
5. v3：Nc3 | 深度 4 | 5.00 秒
5... v4：Bb4 | 深度 4 | 5.00 秒
6. v3：Qd3 | 深度 4 | 5.00 秒
6... v4：Nf6 | 深度 3 | 5.00 秒
7. v3：Nf5 | 深度 4 | 5.00 秒
7... v4：Qg4 | 深度 4 | 5.00 秒
8. v3：h3 | 深度 3 | 5.00 秒
8... v4：Qg6 | 深度 4 | 5.00 秒
9. v3：a3 | 深度 3 | 5.00 秒
9... v4：Bxc3+ | 深度 4 | 5.00 秒
10. v3：Qxc3 | 深度 4 | 5.00 秒
10... v4：O-O | 深度 3 | 5.00 秒
11. v3：Qxc6 | 深度 3 | 5.00 秒
11... v4：Qxf5 | 深度 4 | 5.00 秒
12. v3：Qxc7 | 深度 4 | 5.00 秒
12... v4：Qxe4+ | 深度 4 | 5.00 秒
13. v3：Be3 | 深度 4 | 5.00 秒
13... v4：Nd5 | 深度 3 | 5.00 秒
14. v3：Qc4 | 深度 4 | 5.00 秒
14... v4：Re8 | 深度 4 | 5.00 秒
15. v3：Qxe4 | 深度 5 | 4.15 秒
15... v4：Rxe4 | 深度 5 | 1.63 秒
16. v3：Bd3 | 深度 4 | 5.00 秒
16... v4：Re8 | 深度 4 | 5.00 秒
17. v3：O-O-O | 深度 4 | 5.00 秒
17... v4：Nxe3 | 深度 5 | 4.52 秒
18. v3：fxe3 | 深度 4 | 5.00 秒
18... v4：Rxe3 | 深度 4 | 5.00 秒
19. v3：a4 | 深度 3 | 5.00 秒
19... v4：d5 | 深度 4 | 5.00 秒
20. v3：c4 | 深度 4 | 5.00 秒
20... v4：Rg3 | 深度 4 | 5.00 秒
21. v3：cxd5 | 深度 4 | 5.00 秒
21... v4：Rxg2 | 深度 4 | 5.00 秒
22. v3：Be4 | 深度 4 | 5.00 秒
